id,album,artist,title,2024-09-29
34989,"STAR OCEAN -THE LAST HOPE- Arrange Soundtrack","Motoi Sakuraba","Ruin and Creation",
3499,"Ratchet: Deadlocked","David Bergeaud","DreadZone Training Course",
34990,"STAR OCEAN -THE LAST HOPE- Arrange Soundtrack","Motoi Sakuraba","Brilliant Rose",
34991,"Command & Conquer","Mike Norvak","Acting on Instinct",
34992,"Mega Man X","jmabate","Run for Hope",
34993,"Sonic the Hedgehog","Rexy","Tactile Snowfall",
34994,"Celeste","Emunator","Small Steps (Just Breathe)",
34995,"Lemmings","about:blank","We're All Falling",
34996,"Final Fantasy IV","M Benson","Riddim de Chocobo",
34997,"The Messenger","Rainbowdragoneyes","The Poisoned River (Riviére Turquoise)",
34998,"The Messenger","Rainbowdragoneyes","A Home Amongst the Clouds (Cloud Ruins)",
34999,"The Messenger","Rainbowdragoneyes","Beneath the Tides (Sunken Shrine)",
"350","Invalid song","Invalid song","Invalid song",
35000,"The Messenger","Rainbowdragoneyes","Forgotten (Forlorn Temple)",
35001,"The Messenger","Rainbowdragoneyes","Hills of Destiny (Autumn Hills)",
35002,"The Messenger","Rainbowdragoneyes","Bamboo Boogaloo (Bamboo Creek)",
35003,"The Messenger","Rainbowdragoneyes","Find a Way (Dark Cave)",
35004,"The Messenger","Rainbowdragoneyes","Impossible Ascent (Searing Crags)",
35005,"The Messenger","Rainbowdragoneyes","Fire & Earth (Elemental Skylands)",
35006,"The Messenger","Rainbowdragoneyes","Harness the Winds (Howling Grotto)",
35007,"The Messenger","Rainbowdragoneyes","The Time Gauntlet (Tower of Time)",
35008,"The Messenger","Rainbowdragoneyes","Quillshroom's Horrors (Quillshroom Marsh)",
35009,"The Messenger","Rainbowdragoneyes","The Frozen Light (Glacial Peak)",
35010,"The Messenger","Rainbowdragoneyes","Into the Depths (Catacombs)",
35011,"The Messenger","Rainbowdragoneyes","The Demon Army (Underworld)",
35012,"The Messenger","Rainbowdragoneyes","The Arcane Shoppe",
35013,"Bomb Jack (C64)","Mark Cooksey","Level Theme",
35015,"Bomb Jack II (C64)","Mark Cooksey","BGM",
35016,"Bomb Jack (GB)","Alberto José González","Stage BGM",
35017,"Bomb Jack (GB)","Alberto José González","Game Over",
35018,"Bomb Jack (GB)","Alberto José González","Main Theme",
3502,"Ratchet: Deadlocked","David Bergeaud","Dread Challenge - Grist for the Mill",
35020,"Time Twist: Rekishi no Katasumi de...","Hajime Hirasawa","September 25th, 1995",
35021,"Time Twist: Rekishi no Katasumi de...","Hajime Hirasawa","4 B.C., Israel - Nazareth",
35023,"Akumajou Special: Boku Dracula Kun","Shinji Tasaka, Satoko Minami","Hop and Step Above the Clouds (Stage 2a)",991
35024,"Akumajou Special: Boku Dracula Kun","Shinji Tasaka, Satoko Minami","Hop and Step Above the Clouds (Alternate)",
35025,"Akumajou Special: Boku Dracula Kun","Shinji Tasaka, Satoko Minami","Everything Falls Down, Ouch Ouch Ouch (Stage 4)",
35026,"Akumajou Special: Boku Dracula Kun","Shinji Tasaka, Satoko Minami","Sucharaka Pyramid (Stage 6)",
35027,"Akumajou Special: Boku Dracula Kun","Shinji Tasaka, Satoko Minami","Water Cha Cha (Stage 3)",991
35028,"Akumajou Special: Boku Dracula Kun","Shinji Tasaka, Satoko Minami","Go Go at the Castle (Stage 1)",
35029,"Akumajou Special: Boku Dracula Kun","Shinji Tasaka, Satoko Minami","Robot Battle (Stage 9)",
35030,"Akumajou Special: Boku Dracula Kun","Shinji Tasaka, Satoko Minami","Bye Bye, Draccy (Ending)",
35031,"Akumajou Special: Boku Dracula Kun","Shinji Tasaka, Satoko Minami","Calling Tiffany (Stages 5a & 8)",
35032,"Akumajou Special: Boku Dracula Kun","Shinji Tasaka, Satoko Minami","Minigame",991
35033,"Shovel Knight - King of Cards","Jake Kaufman (virt)","Boss - Ye Fruitly Benediction",
35034,"Shovel Knight - King of Cards","Jake Kaufman (virt)","The Crosswise Crosswinds (Birder Mountain)",
35035,"Shovel Knight - King of Cards","Jake Kaufman (virt)","Joustus - Overlook Interlude (Mountain House)",
35036,"Shovel Knight - King of Cards","Jake Kaufman (virt)","Cruise Control (Airship)",
35037,"Shovel Knight - King of Cards","Jake Kaufman (virt)","Boss - The Twilight of Tomorrow",
35038,"Shovel Knight - King of Cards","Jake Kaufman (virt)","Showdown - The War in the Mirror (Colosseum)",
35039,"Shovel Knight - King of Cards","Jake Kaufman (virt)","Coup D'état (Ending)",991
35040,"Shovel Knight - King of Cards","Jake Kaufman (virt)","A Silly Talking Fish (Troupple Map)",
35041,"Shovel Knight - King of Cards","Jake Kaufman (virt)","A Proclamation Most High - Storybook Intro",
35043,"Shovel Knight - King of Cards","Jake Kaufman (virt)","The Buzz in the Grotto (Troupple Pond)",
35044,"Shovel Knight - King of Cards","Jake Kaufman (virt)","Pride Before Order (Pridemoor Map)",
35045,"Shovel Knight - King of Cards","Jake Kaufman (virt)","Joustus - The Royal Overture",
35046,"Shovel Knight - King of Cards","Jake Kaufman (virt)","Showdown - Fields of Fire (Title)",
35047,"Shovel Knight - King of Cards","Jake Kaufman (virt)","Joustus - Just a Minuet",
35048,"Shovel Knight - King of Cards","Jake Kaufman (virt)","Boss - The Swift Kicker",991
35049,"Alex the Allegator 4","Anders Svensson","Once I Was An Egg",
3505,"Ratchet: Deadlocked","David Bergeaud","Shaar - Landstalker Stalkin'",
35050,"Alex the Allegator 4","Anders Svensson","Lola's Space Fighter",
