elementName,score,nbOfSongs
"BRA★BRA FINAL FANTASY BRASS de BRAVO 2","1017",9
"NES Cult Armageddon","1017",9
"Super Metroid","1016.9024390243902",41
"Scions & Sinners: FINAL FANTASY XIV ～ Arrangement Album ～","1016.875",8
"Katamari Forever","1016.875",8
"A Tribute to Nobuo Uematsu","1016.875",16
"Gravity Rush","1016.875",8
"Prelude (EP)","1016.7142857142857",7
"Phoenix Wright 2: Justice for All","1016.7142857142857",7
"More SQ","1016.7142857142857",7
"Wacky Races","1016.7142857142857",7
"Super Smash Land","1016.6153846153846",13
"Heretic Sinphony","1016.5",6
"Castlevania: Lament of Innocence","1016.5",6
"Kirite","1016.5",6
"Through Time & Space","1016.5",6
"NINTENDO VS SEGA 2","1016.5",6
"Obligatory Ice Level Day 2010","1016.5",6
"Castlevania II: Belmont's Revenge","1016.3636363636364",11
"Mega Man X","1016.2",25
"Donkey Kong Land","1016.2",15
"River City Ransom (PC Engine)","1016.2",5
"Owlboy","1016.2",5
"Streets of Rage 4","1016.2",5
"Sonic Heroes","1016.2",10
"Yu-Gi-Oh! Forbidden Memories","1016.2",5
"Gradius II","1016",9
"Hero of Time (Music from The Legend of Zelda: Ocarina of Time)","1016",9
"Final Fantasy VII Chips","1015.75",8
"Overlord (Supremacy: Your Will Be Done)","1015.75",4
"The Black Mages III: Darkness and Starlight","1015.75",8
"Sunset Riders","1015.75",4
"The Legend of Zelda: A Link Between Worlds","1015.75",12
"Hany in the Sky","1015.75",4
"The Cries of the Planet","1015.75",16
"VLAD II","1015.75",4
"Penny Arcade Adventures","1015.75",4
"Gentlemen's Swing","1015.75",4
"Cat Astro Phi","1015.75",4
"Metal Gear Rising: Revengeance","1015.75",4
"Bonkers","1015.75",4
"Nobunaga's Ambition: Iron Triangle","1015.75",8
"Spy vs. Spy","1015.75",4
"American Pixels","1015.75",4
"Timeline EP","1015.75",4
"Final Fantasy XI: The Land Of Vana'diel","1015.5454545454545",11
"CARNIVORTEX","1015.4285714285714",7
"DDR Mario Mix","1015.4285714285714",7
"Apollo Justice: Ace Attorney","1015.4285714285714",7
"Metal Gear Solid 3: Snake Eater","1015.2307692307693",13
"Teenage Mutant Ninja Turtles: Shredder's Revenge","1015.2307692307693",13
"Gun.Smoke","1015",9
"World Of Goo","1015",6
"Zillion 2: The Tri Formation","1015",3
"StarTropics","1015",9
"Super Mario Maker","1015",6
"CHRONOTORIOUS","1015",12
"Ganbare! Golf Boys","1015",6
"Eschatos OST N163 Arrangement Project","1015",9
"Persona 3 Portable","1015",6
"Out There (Extended)","1015",6
"Creid (Xenogears)","1015",9
"Bits to the Wall","1015",3
"More Than Mario","1015",9
"TimeSplitters","1015",3
"The Sims 2","1015",6
"Treasure Master","1015",6
"Castlevania II: Simon's Quest","1014.85",20
"Kingdom Hearts Birth by Sleep","1014.7272727272727",11
"Distant Worlds: Final Fantasy","1014.7272727272727",11
"Super Mario World 2: Yoshi's Island","1014.6842105263158",19
"Shining Force","1014.625",8
"Mega Man ZX","1014.5384615384615",13
"Contra","1014.5384615384615",13
"Fire 'N Ice","1014.4",5
"Sonic R","1014.4",5
"Wii Sports","1014.4",5
"Muse: An 8 Bit Tribute","1014.4",5
"Final Fantasy VII Remake","1014.4",10
"Presents... The Protomen","1014.4",5
"Mappy-Land","1014.4",5
"Guerrilla War","1014.4",5
"Gunstar Heroes (GEN)","1014.4",5
"Psychonauts","1014.4",5
"MetalHog","1014.4",5
"DuckTales","1014.2105263157895",19
"Mushihimesama","1014.1428571428571",7
"Phoenix Wright: Ace Attorney","1014.1428571428571",14
"One Must Fall 2097","1014.1428571428571",7
"Ecco the Dolphin","1014.1428571428571",7
"Ni no Kuni","1014.1428571428571",7
"Rune Factory 3","1014.1428571428571",7
"SQ Swing","1014.1428571428571",7
"Melody Muncher","1014.1428571428571",7
"CADENZA -Gyakuten Saiban 1-","1014.1428571428571",7
"VA-11 HALL-A","1014",9
"Vampire Variations: A Musical Tribute to Castlevania","1013.9090909090909",11
"Super C","1013.9090909090909",11
"The Impact of Iwata","1013.8",15
"Super Mario 64","1013.7045454545455",44
"Secret of Mana","1013.6875",48
"Apex 2016: I Got Next","1013.5",8
"Famicom Tantei Club: Kieta Koukeisha","1013.5",4
"Heroes vs. Villains","1013.5",10
"Star Road: Super Mario Reimagined","1013.5",6
"Portal 2","1013.5",12
"Grandia II","1013.5",8
"Atelier Sophie","1013.5",10
"Mario Party","1013.5",4
"Ghosts'n Goblins","1013.5",4
"Cave Story 3D","1013.5",12
"Final Fantasy XIV: Shadowbringers","1013.5",12
"Symphonic Memories Concert - music from SQUARE ENIX","1013.5",8
"A Short Hike","1013.5",4
"The 7th Saga","1013.5",6
"No Phoenix Down Can Save You Now","1013.5",10
"Intergalactic Redux","1013.5",6
"Mega Man X8","1013.5",6
"Gamer Symphony Orchestra Spring 2011","1013.5",6
"Splatterhouse 2","1013.5",4
"Vampire Killer","1013.5",2
"Piano Collections NieR:Automata","1013.5",6
"Catacomb Snatch","1013.5",4
"Snake Man vs The World","1013.5",4
"Final Fantasy VI Piano Collections","1013.5",4
"Persona Q","1013.5",8
"Gamer Symphony Orchestra Spring 2009","1013.5",2
"Sidology","1013.5",2
"Adventure Magic Supreme Journey Music","1013.5",2
"Rescue: The Beagles","1013.5",2
"Turbo Sound","1013.5",6
"Top Gun","1013.5",2
"inMomentum","1013.5",4
"Swamps of Eden","1013.5",4
"Crystal Flash EP","1013.5",4
"Artillery","1013.5",2
"Shin Megami Tensei II","1013.5",2
"Octave Theory","1013.5",2
"Final Fantasy IX","1013.3636363636364",33
"Donkey Kong Country","1013.2857142857143",42
"NieR:Automata","1013.2857142857143",21
"Persona 4","1013.1538461538462",13
"Xenoblade Chronicles","1013.0909090909091",22
"Zelda & Chill","1013.0909090909091",11
"Mega Man Xtreme","1013",9
"Monster Hunter Tri","1013",9
"Super Street Fighter II Turbo HD Remix","1012.9",30
"Chrono Cross","1012.8571428571429",56
"Furi","1012.8571428571429",7
"Kunoi","1012.8571428571429",7
"Flyff","1012.8571428571429",7
"hYMns","1012.8571428571429",7
"Rise of the Obsidian Interstellar","1012.8571428571429",7
"Kingdom Hearts II","1012.7894736842105",19
"Sonic Chaos","1012.75",12
"Teenage Mutant Ninja Turtles II: The Arcade Game","1012.75",12
"Crystalis","1012.75",12
"Donkey Kong Country 2: Diddy's Kong Quest","1012.7173913043479",46
"Blaster Master","1012.7058823529412",17
"Chronicles of Time","1012.65625",32
"Mystic Awakening: Music of Final Fantasy VI","1012.6",15
"Klonoa: Door to Phantomile","1012.6",5
"Dissidia: Final Fantasy","1012.6",10
"Beyond Good & Evil","1012.6",10
"Slay the Spire","1012.6",5
