id,album,artist,title,rating,rating_percentile
25580,"Paper Mario: Sticker Star","Masanobu Matsunaga, Saki Kurata, Shoh Murakami, Yoshito Sekigawa, Yasuhisa Baba, Hiroki Morishita, Masanori Adachi, Kiyoshi Hazemoto, Tomoko Sano, Kosei Muraki, Hiroaki Hanaoka, Yasumasa Yamada","World Map [Bowser's World]",3.8153846,57.782106998351566
25586,"Paper Mario: Sticker Star","Masanobu Matsunaga, Saki Kurata, Shoh Murakami, Yoshito Sekigawa, Yasuhisa Baba, Hiroki Morishita, Masanori Adachi, Kiyoshi Hazemoto, Tomoko Sano, Kosei Muraki, Hiroaki Hanaoka, Yasumasa Yamada","Endlessly Hungry, Petey Piranha Battle",3.7767441,57.77910984564664
25566,"Paper Mario: Sticker Star","Masanobu Matsunaga, Saki Kurata, Shoh Murakami, Yoshito Sekigawa, Yasuhisa Baba, Hiroki Morishita, Masanori Adachi, Kiyoshi Hazemoto, Tomoko Sano, Kosei Muraki, Hiroaki Hanaoka, Yasumasa Yamada","Supreme Sparkling King, Bowser Battle",3.66875,57.77611269294171
25569,"Paper Mario: Sticker Star","Masanobu Matsunaga, Saki Kurata, Shoh Murakami, Yoshito Sekigawa, Yasuhisa Baba, Hiroki Morishita, Masanori Adachi, Kiyoshi Hazemoto, Tomoko Sano, Kosei Muraki, Hiroaki Hanaoka, Yasumasa Yamada","Mizzter Blizzard's Snow Bowser Statue Battle",3.6352942,57.77311554023677
25607,"Hello World: Adventures in Mushroomland","Super Marcato Bros., Karl Brueggemann, Will Brueggemann, Marty Brueggemann","Hold Your Breath (Underwater)",3.5714285,57.770118387531845
25605,"Hello World: Adventures in Mushroomland","Super Marcato Bros., Karl Brueggemann, Will Brueggemann, Marty Brueggemann","Winter in Mushroomland",3.5272727,57.76712123482691
25608,"Hello World: Adventures in Mushroomland","Super Marcato Bros., Karl Brueggemann, Will Brueggemann, Marty Brueggemann","Cocoa Wasteland Map",3.5,57.76412408212198
25604,"Hello World: Adventures in Mushroomland","Super Marcato Bros., Karl Brueggemann, Will Brueggemann, Marty Brueggemann","Brawlin' with the Spike Tykes",3.48,57.76112692941705
25565,"Paper Mario: Sticker Star","Masanobu Matsunaga, Saki Kurata, Shoh Murakami, Yoshito Sekigawa, Yasuhisa Baba, Hiroki Morishita, Masanori Adachi, Kiyoshi Hazemoto, Tomoko Sano, Kosei Muraki, Hiroaki Hanaoka, Yasumasa Yamada","Malevolent Magikoopa, Kamek Battle",3.4702702,57.75812977671212
25568,"Paper Mario: Sticker Star","Masanobu Matsunaga, Saki Kurata, Shoh Murakami, Yoshito Sekigawa, Yasuhisa Baba, Hiroki Morishita, Masanori Adachi, Kiyoshi Hazemoto, Tomoko Sano, Kosei Muraki, Hiroaki Hanaoka, Yasumasa Yamada","The Rampaging Din",3.460606,57.75513262400719
25593,"Paper Mario: Sticker Star","Masanobu Matsunaga, Saki Kurata, Shoh Murakami, Yoshito Sekigawa, Yasuhisa Baba, Hiroki Morishita, Masanori Adachi, Kiyoshi Hazemoto, Tomoko Sano, Kosei Muraki, Hiroaki Hanaoka, Yasumasa Yamada","Town of Toads and Stickers, Decalberg",,57.75213547130227
25609,"Hello World: Adventures in Mushroomland","Super Marcato Bros., Karl Brueggemann, Will Brueggemann, Marty Brueggemann","Quick on Your Feet! (Athletic)",3.4583333,57.74913831859734
25613,"Hello World: Adventures in Mushroomland","Super Marcato Bros., Karl Brueggemann, Will Brueggemann, Marty Brueggemann","Slithersnake Sandbox",3.4129033,57.7461411658924
2560,"Blood of Bahamut","Naoshi Mizuta","A Reckless Battle",3.2235293,57.743144013187475
25597,"Paper Mario: Sticker Star","Masanobu Matsunaga, Saki Kurata, Shoh Murakami, Yoshito Sekigawa, Yasuhisa Baba, Hiroki Morishita, Masanori Adachi, Kiyoshi Hazemoto, Tomoko Sano, Kosei Muraki, Hiroaki Hanaoka, Yasumasa Yamada","My Things!",3.2,57.74014686048255
25606,"Hello World: Adventures in Mushroomland","Super Marcato Bros., Karl Brueggemann, Will Brueggemann, Marty Brueggemann","Bonus!",3.144,57.73714970777761
2561,"Blood of Bahamut","Naoshi Mizuta","A Travelling Family",,57.73415255507268
25634,"The Black Box","aivi, surasshu","Lonely Rolling Star (Missing You)",4.725532,57.73115540236775
25633,"The Black Box","aivi, surasshu","Mabe Village (Bonus Track)",4.674286,57.72815824966282
25695,"Castlevania: The Dracula X Chronicles","Masanori Akita","Dreams of Triumph",4.609836,57.72516109695789
25644,"Ori and the Blind Forest","Gareth Coker","Escaping the Ruins",4.551648,57.722163944252955
25693,"Castlevania: The Dracula X Chronicles","Akihiro Honda","Cross Fear",4.5323076,57.71916679154803
25692,"Castlevania: The Dracula X Chronicles","Yuichi Tsuchiya","Vampire Killer",4.5069766,57.7161696388431
25667,"The Legend of Zelda: A Link to the Past","Joey Grady","The Seven Wise Men Shot First",4.5047617,57.71317248613816
25694,"Castlevania: The Dracula X Chronicles","Masanori Akita","Slash",4.4305086,57.710175333433234
25691,"Castlevania: The Dracula X Chronicles","Masanori Akita","Divine Bloodlines",4.4166665,57.70717818072831
25627,"UUDDLRLRBAStart","The Kode","Snake Man (Mega Man 3)",4.3285713,57.704181028023385
25645,"Ori and the Blind Forest","Gareth Coker, Rachel Mellis","Completing the Circle",4.3185186,57.70118387531845
