id,album,artist,title,rating,Current score,votescore,rankscore,scoreDiff
16823,"Fire 'N Ice","Kajiya Shitamachi","Big Tree",3.1783783,1081,63.567566,99.722320880824,36.154754880824
14331,"Green Beret","Martin Galway","Title",3.2385964,1090,64.771928,99.88376222918214,35.111834229182136
19943,"Cobra Triangle","Justin Tense","bra reloCaTing",3.3247058,1063,66.49411599999999,98.92480061993479,32.430684619934794
17149,"Thing on a Spring","Rob Hubbard","Thing on a Spring",3.3292308,1063,66.584616,98.97000419747506,32.385388197475066
32336,"Tecmo Bowl","Keiji Yamagishi","Player 1 Theme",3.3185184,1063,66.370368,98.73752865583934,32.36716065583934
13024,"The Secret of Monkey Island (Amiga)","Michael Land","Addressing the Crew",3.3183672,1054,66.367344,98.5405702108424,32.1732262108424
17801,"Metal Gear","Iku Mizutani, Shigehiro Takenouchi, Motoaki Furukawa","Big Boss",3.447059,1072,68.94118,99.49307416615544,30.551894166155435
18273,"Metal Gear Solid 2: Sons of Liberty","BenCousins","Big Shell West Bristol",3.4418604,1063,68.837208,98.94740240870492,30.110194408704913
31362,"Side Pocket (GB)","Yusuke Takahama","BGM 8",3.4333334,1063,68.666668,98.75690161764231,30.090233617642312
36970,"Dragon Ball Z: Budokai 2","B-laze","Twisted Soul",3.5081081,1090,70.162162,99.7739821122986,29.611820112298602
17759,"Spelunky","Jonathan Perry","Olmec's Lair",3.5041666,1063,70.083332,98.95386006263924,28.870528062639238
39198,"8 Bit of Zelda: Ocarina of Time","Bizen","Kokiri Forest",3.5789473,1099,71.578946,99.89990636401795,28.32096036401795
14416,"Chiptuned Rockman","USK","Woodman Stage, Wily Stage 1 (Respect2dabeat Mix)",3.5384614,1063,70.769228,99.02489425591683,28.255666255916836
18577,"Top Gear 3000","Collaborator","Shop Mix",3.56,1072,71.2,99.45432824254948,28.254328242549477
17802,"Metal Gear","Iku Mizutani, Shigehiro Takenouchi, Motoaki Furukawa","Super Computer",3.5631578,1072,71.263156,99.48984533918828,28.226689339188283
20570,"Super C","BrainCells","Against the Rest",3.5728815,1081,71.45763,99.65774434148074,28.20011434148074
10215,"World of Warcraft","katethegreat19","Lament of the Highborne",3.5209303,1054,70.418606,98.60514675018565,28.186540750185657
18180,"Oddworld: Abe's Oddysee","The Orichalcon","The Monsaic",3.5408452,1063,70.81690400000001,98.95063123567208,28.13372723567207
18333,"Breath of Fire II","Gman","You Must Dance",3.5882354,1072,71.764708,99.46724355041813,27.702535550418133
16988,"Adventure Island 2","Miyoshi Okuyama","Ice Island 1",3.580645,1063,71.6129,98.97646185140938,27.363561851409386
39197,"Flowstone Saga","Emunator, ZackParrish, paradiddlesjosh","Hanagasumi ~ A Mist of White Upon the Lake",3.6285715,1099,72.57143,99.90313519098511,27.331705190985105
20162,"Doom","Rimco","Doomed",3.6,1063,72,98.91511413903329,26.915114139033292
17628,"Turrican","Ramiro Vaca","Ending",3.6416667,1081,72.83333400000001,99.70940557295535,26.87607157295534
1551,"Gears of War 2","Steve Jablonsky","Armored Prayer",3.612121,1063,72.24242000000001,98.9926059862452,26.750185986245185
19704,"Shadowrun","FFmusic Dj","Running the Cyberpunks",3.615909,1063,72.31818,98.92802944690195,26.609849446901947
26763,"Too Bleep to Blop","8bit bEtty","Spooky Loop",3.651613,1063,73.03226000000001,98.8279358109199,25.79567581091989
39199,"Dragon Souseiki","Takahiro Matsuki","A Rest in Town",3.7142856,1117,74.285712,99.98062703819703,25.694915038197024
14894,"Final Fantasy IX Chips","ajiponn","Mount Gulug",3.6666667,1063,73.333334,99.00552129411385,25.672187294113854
39048,"Aspar GP Master","Jeroen Tel","Main Theme",3.7052631,1081,74.105262,99.61254076394046,25.507278763940462
16677,"Katamari Damacy Novita","SEXY-SYNTHESIZER","Katamari of Love (SEXY-SYNTHESIZER Remix)",3.7182796,1090,74.36559199999999,99.87084692131349,25.505254921313494
16655,"Snake Rattle 'N Roll","David Wise","The First Level",3.701695,1072,74.0339,99.51890478189273,25.485004781892727
24543,"Teenage Mutant Ninja Turtles: Tournament Fighters (NES)","Junichiro Kaneda, Ayako Nishigaki","Bonus Game",3.6722221,1063,73.444442,98.86022408059152,25.415782080591526
13640,"Sphere Brain","Tero Hilpinen, Toni Hilpinen","Introduction",3.6888888,1063,73.777776,99.05718252558844,25.279406525588442
18990,"Sonic Adventure","MkVaff","Taikal Drum 'n' Ragga",3.7163637,1072,74.327274,99.43495528074651,25.107681280746505
